Fecha;Cartera;Moneda_retorno;Rentabilidad_1D
16-06-19;FONDO;CLP;0,000%
17-06-19;BENCHMARK;CLP;-0,671%
17-06-19;FONDO;CLP;-0,256%
18-06-19;BENCHMARK;CLP;0,312%
18-06-19;FONDO;CLP;0,040%
19-06-19;FONDO;CLP;-0,354%
19-06-19;BENCHMARK;CLP;-0,138%
20-06-19;FONDO;CLP;0,489%
20-06-19;BENCHMARK;CLP;0,539%
21-06-19;FONDO;CLP;0,111%
21-06-19;BENCHMARK;CLP;-0,014%
22-06-19;BENCHMARK;CLP;0,000%
22-06-19;FONDO;CLP;0,000%
23-06-19;FONDO;CLP;0,000%
23-06-19;BENCHMARK;CLP;0,000%
24-06-19;BENCHMARK;CLP;0,606%
24-06-19;FONDO;CLP;0,364%
25-06-19;FONDO;CLP;0,133%
25-06-19;BENCHMARK;CLP;0,148%
26-06-19;BENCHMARK;CLP;-0,287%
26-06-19;FONDO;CLP;-0,027%
27-06-19;BENCHMARK;CLP;-0,187%
27-06-19;FONDO;CLP;-0,143%
28-06-19;FONDO;CLP;0,042%
28-06-19;BENCHMARK;CLP;-0,065%
29-06-19;FONDO;CLP;0,000%
29-06-19;BENCHMARK;CLP;0,000%
30-06-19;FONDO;CLP;0,000%
30-06-19;BENCHMARK;CLP;0,000%
01-07-19;FONDO;CLP;0,212%
01-07-19;BENCHMARK;CLP;-0,154%
02-07-19;FONDO;CLP;-0,864%
02-07-19;BENCHMARK;CLP;-1,050%
03-07-19;FONDO;CLP;-0,027%
03-07-19;BENCHMARK;CLP;0,903%
04-07-19;FONDO;CLP;0,253%
04-07-19;BENCHMARK;CLP;-0,001%
05-07-19;FONDO;CLP;-0,006%
05-07-19;BENCHMARK;CLP;0,413%
06-07-19;FONDO;CLP;0,000%
06-07-19;BENCHMARK;CLP;0,000%
07-07-19;FONDO;CLP;0,000%
07-07-19;BENCHMARK;CLP;0,000%
08-07-19;FONDO;CLP;0,181%
08-07-19;BENCHMARK;CLP;-0,178%
09-07-19;BENCHMARK;CLP;-0,246%
09-07-19;FONDO;CLP;-0,151%
10-07-19;BENCHMARK;CLP;0,381%
10-07-19;FONDO;CLP;0,337%
11-07-19;BENCHMARK;CLP;0,028%
11-07-19;FONDO;CLP;0,290%
12-07-19;FONDO;CLP;-0,215%
12-07-19;BENCHMARK;CLP;-0,128%
13-07-19;FONDO;CLP;0,000%
13-07-19;BENCHMARK;CLP;0,000%
14-07-19;FONDO;CLP;0,000%
14-07-19;BENCHMARK;CLP;0,000%
15-07-19;BENCHMARK;CLP;0,158%
15-07-19;FONDO;CLP;-0,030%
16-07-19;FONDO;CLP;0,000%
16-07-19;BENCHMARK;CLP;0,000%
17-07-19;FONDO;CLP;-0,304%
17-07-19;BENCHMARK;CLP;-0,506%
18-07-19;BENCHMARK;CLP;-0,191%
18-07-19;FONDO;CLP;-0,111%
19-07-19;FONDO;CLP;0,078%
19-07-19;BENCHMARK;CLP;0,231%
20-07-19;FONDO;CLP;0,000%
20-07-19;BENCHMARK;CLP;0,000%
21-07-19;BENCHMARK;CLP;0,000%
21-07-19;FONDO;CLP;0,000%
22-07-19;FONDO;CLP;-0,139%
22-07-19;BENCHMARK;CLP;-0,408%
23-07-19;FONDO;CLP;-0,645%
23-07-19;BENCHMARK;CLP;-0,685%
24-07-19;FONDO;CLP;-0,907%
24-07-19;BENCHMARK;CLP;-0,566%
