Fecha;Cartera;Instrumento;Peso
04-01-19;BENCHMARK;VAPORES;0,67%
05-01-19;BENCHMARK;AESGENER;1,28%
05-01-19;BENCHMARK;AGUAS-A;2,55%
05-01-19;BENCHMARK;ANDINA-B;1,21%
05-01-19;BENCHMARK;BCI;5,37%
05-01-19;BENCHMARK;BSANTANDER;7,64%
05-01-19;BENCHMARK;CAP;1,11%
05-01-19;BENCHMARK;CCU;3,09%
05-01-19;BENCHMARK;CENCOSUD;4,12%
05-01-19;BENCHMARK;CHILE;7,01%
05-01-19;BENCHMARK;CMPC;5,85%
05-01-19;BENCHMARK;COLBUN;2,33%
05-01-19;BENCHMARK;CONCHATORO;1,48%
05-01-19;BENCHMARK;COPEC;7,23%
05-01-19;BENCHMARK;ECL;1,50%
05-01-19;BENCHMARK;ENELAM;8,46%
05-01-19;BENCHMARK;ENELCHILE;4,35%
05-01-19;BENCHMARK;ENELGXCH;0,49%
05-01-19;BENCHMARK;ENTEL;1,79%
05-01-19;BENCHMARK;FALABELLA;7,75%
05-01-19;BENCHMARK;ILC;0,88%
05-01-19;BENCHMARK;ITAUCORP;2,58%
05-01-19;BENCHMARK;LTM;5,14%
05-01-19;BENCHMARK;PARAUCO;2,60%
05-01-19;BENCHMARK;RIPLEY;1,32%
05-01-19;BENCHMARK;SALFACORP;0,74%
05-01-19;BENCHMARK;SECURITY;0,71%
05-01-19;BENCHMARK;SM-CHILE B;3,51%
05-01-19;BENCHMARK;SONDA;1,38%
05-01-19;BENCHMARK;SQM-B;5,86%
05-01-19;BENCHMARK;VAPORES;0,67%
05-01-19;FONDO;ANDINA-B;1,79%
05-01-19;FONDO;ANTARCHILE;1,93%
05-01-19;FONDO;BCI;7,15%
05-01-19;FONDO;BSANTANDER;6,95%
05-01-19;FONDO;Caja CLP;0,33%
05-01-19;FONDO;CAP;0,13%
05-01-19;FONDO;CCU;1,16%
05-01-19;FONDO;CENCOSUD;2,58%
05-01-19;FONDO;CFILVSCC-L;7,99%
05-01-19;FONDO;CHILE;0,26%
05-01-19;FONDO;CMPC;6,90%
05-01-19;FONDO;COLBUN;0,59%
05-01-19;FONDO;COPEC;5,46%
05-01-19;FONDO;ECL;3,04%
05-01-19;FONDO;ENELAM;9,66%
05-01-19;FONDO;ENELCHILE;4,39%
05-01-19;FONDO;ENTEL;0,92%
05-01-19;FONDO;FALABELLA;5,12%
05-01-19;FONDO;HITES;0,36%
05-01-19;FONDO;IAM;2,41%
05-01-19;FONDO;ILC;2,51%
05-01-19;FONDO;ITAUCORP;5,32%
